PDF 文件名,标题,波段信息,材料,设计目的
2019Nanophotonics-Simulator-based training of generative neural networks for the inverse design of metasurfaces.pdf,Simulator-based training of generative neural networks for the inverse design of metasurfaces,否,Si,这篇文章提出了一种基于生成神经网络的全局优化算法，用于超表面设计。该算法通过训练生成器，利用伴随变量法计算效率梯度，以优化超表面的性能。实验结果表明，该算法能够有效地搜索到高性能的超表面设计，与基于梯度的拓扑优化方法相比，具有更高的效率和更好的稳定性。这项研究为光子学和其他领域的逆设计问题提供了一种新的解决方案。 
2019Nanoscale-Smart inverse design of graphene-based photonic metamaterials by an adaptive artificial neural network.pdf,Smart inverse design of graphene-based photonic metamaterials by an adaptive artificial neural network,可见光至近红外波段，240-2000nm,"graphene,Si3N4",这篇文章提出了一种基于自适应批归一化神经网络的深度学习方法，用于智能快速地逆设计具有按需光学响应的石墨烯基超材料。该方法收敛速度快、精度高、计算消耗低，在少量训练轮次后预测准确率高于95%。通过设计石墨烯/介质交替多层结构的光学超材料进行验证，相比传统算法展现出更高的计算效率和与按需光谱更好的预测一致性，还开发了通用编程包实现了低吸收和近 unity 吸收的设计目标，为基于石墨烯和其他二维材料的纳米光子学领域提供了重要的设计应用。 
2019NC-美国加州大学尔湾分校化学工程与材料科学系-受乌贼皮肤启发的动态体温调节材料.pdf,A dynamic thermoregulatory material inspired by squid skin,否,"Cu,SEBS",这篇文章受鱿鱼皮肤动态变色能力启发，研发出一种具有可调热调节性能的复合材料。该材料通过拉伸实现红外反射率和透射率的动态调制，开/关切换比约为25，能调节约36W/m2的热通量，环境设定温度窗口约8°C，可管理约四分之一的静息个体代谢热通量，降低建筑物能耗，为热管理提供创新解决方案。 
2019NE-高温吸波器.pdf,Scalable all-ceramic nano?lms as highly e?cient and thermally stable selective solar absorbers,可见光至近红外波段，300-1800nm,"TiN,TiNO,ZrO2,SiO2,Si",这篇文章提出了一种基于全陶瓷多层纳米薄膜的高效太阳能吸收器TiN/TiNO/ZrO2/SiO2，其具有高太阳能吸收率（92.2%）和超低热发射率（1000K时为17.0%），太阳能-热转换效率高达82.6%。通过优化材料选择和光学结构设计，并有效抑制界面扩散和分层，该吸收器展现出优异的热稳定性，能够在1000K的高温下稳定工作，为下一代聚光太阳能发电系统提供了一种极具潜力的解决方案。 
2019oe-27-20-27523.pdf,Deep learning for accelerated all-dielectric metasurface design,太赫兹波段，0.86-1.5THz,Si,这篇文章提出了一种基于深度学习的全介质超表面设计方法，能够快速准确地预测超表面的频率相关传输特性。通过设计多层结构，该技术实现了可见光颜色和红外发射率的独立调控，能够在复杂环境中动态适应背景，同时具备高达90%的红外发射率调节范围。这项研究为多光谱兼容伪装和防伪提供了一种创新的解决方案。 
2019SR-1400度多层膜l.pdf,Metamaterial emitter for thermophotovoltaics stable up to 1400 °C,否,"W,HfO2,Al2O3,Au,GaSb",这篇文章通过研究基于溅射W-HfO2 层状超材料的一维结构化发射器，实现了在1400°C高温下的稳定光谱特性，为热光伏（TPV）系统提供了高效的热发射器。通过控制真空条件和结构设计，该发射器在中真空和高真空条件下分别表现出由氧化和晶粒生长主导的不同退化机制。研究结果为提高TPV系统效率和理解其他纳米结构材料的热稳定性提供了重要指导。 
2019美国埃利莫大学ACS NANO变色龙启发的菌株适应智能皮肤.pdf,Chameleon-Inspired Strain-Accommodating Smart Skin,否,"Fe3O4,SiO2,pNIPAM,PEG,Laponite XLG,ribo?avin,Irgacure,poly(ethylene glycol) diacrylate,N-isopropylacrylamide,Na4P2O7/H3PO4,tetra-PEG-NH2,tetra-PEG-NHS",这篇文章受变色龙皮肤结构启发，提出了一种制造智能皮肤材料的新方法——应变适应智能皮肤（SASS）。该设计解决了传统响应式PC水凝胶机械屈曲和不稳定性的问题，通过优化交联剂浓度和磁场强度，展现出强烈且可逆的热/光触发光学响应。此外，高分辨率光学显微镜证实了SASS膜的光触发局部去溶胀和颜色响应，其颜色响应还能通过聚焦激光束在空间和时间上进行控制。SASS对自然阳光敏感，可模制成各种几何形状，在伪装、信号传递和防伪等领域具有潜在应用价值。 
"2020-DeSolar Energy Materials and Solar Cells-加州伯克利-sign, characterization, and fabrication of solar-retroreflective cool-wall materials.pdf","Design, characterization, and fabrication of solar-retroreflective cool-wall materials",否,Aluminized Mylar,这篇文章旨在开发太阳能逆向反射冷墙材料，以提高城市反照率并降低建筑物热量吸收。通过对美国17个气候区外墙太阳辐射角分布的评估，确定了逆向反射墙的性能参数，并利用第一性原理物理和光线追踪模拟来探索设计方案。研究发现，依赖全内反射的材料难以在大入射角下实现高效逆向反射。通过实验测量和分析，评估了一些市售逆向反射器的性能，并制造和测试了二维镜面逆向反射器原型。结果表明，镀铝聚酯薄膜在形成正交折叠和保持表面平整方面存在挑战，而目前的二维镜面逆向反射器原型性能仍有待提高。这项研究为太阳能逆向反射冷墙材料的设计和应用提供了有价值的参考。 
2020-Light Science Applications-浙江大学-Qiang Li-隔热的二氧化硅气凝胶与多层波长选择发射器组合实现高温红外伪装.pdf,High-temperature infrared camouflage with efficient thermal management,5 –8μm，8 –14μm,"Ge,ZnS,SiO2",这篇文章通过结合用于隔热的二氧化硅气凝胶和用于同时进行辐射冷却及红外伪装的Ge/ZnS多层波长选择发射器，实现了高效热管理的高温红外伪装。实验证明该方案能将物体表面温度从873K降至410K，室内/室外（对应有/无地照情况）辐射温度在873/623K时降至310/248K，有地照时锁定范围降低76.9%，为高温热管理和红外信号处理带来了新机遇。 
2020-马晓东-硕-低发射率多层薄膜的制备与红外辐射特性探究.pdf,低发射率多层薄膜的制备与红外辐射特性探究,2~14μm,"ZrB2,Al2O3,CeO2",这篇硕士学位论文以ZrB2基超高温陶瓷材料的耐高温红外隐身应用为背景，通过磁控溅射制备了ZrB2单层薄膜以及ZrB2/Al2O3、ZrB2/CeO2双层低发射率薄膜样品，探究了双层薄膜对ZrB2单层膜抗氧化性的改善。ZrB2薄膜具有优异红外隐身性能，但高温氧化问题限制其应用。ZrB2/CeO2双层薄膜虽有干涉效应和高透过率，但CeO2中O元素扩散影响效果；ZrB2/Al2O3双层薄膜有效隔绝氧元素，提升了单层薄膜氧化温度，600℃热处理30h后平均反射率达0.90，为高温红外低发射率材料研究提供了参考。 
2020Advanced photonics research-Applying Machine Learning to the Optics of Dielectric Nano-Blobs.pdf,Applying Machine Learning to the Optics of Dielectric Nano-Blobs,否,"Si,Al2O3",这篇文章提出了一种利用深度神经网络（DNN）解决介电纳米球复杂几何形状、极化和光谱响应之间关系的方法。该方法配置了由正向预测（FP）网络和逆设计（ID）网络组成的DNN，能够预测光谱响应并执行逆设计。通过生成训练数据、训练网络和测试性能，结果表明FP网络能出色地预测反射光谱，ID网络能为所需光谱响应生成具有相似光谱响应的几何形状和极化角度。这项研究为解决光与物质相互作用提供了有吸引力的替代工具。 
2020Advanced Science-美国德雷塞尔大学yury和韩国科学院-单层MXene组件的电磁屏蔽.pdf,Electromagnetic Shielding of Monolayer MXene Assemblies,X波段，8.2–12.4 GHz,"Ti3AlC2,Ti3C2Tx,Si",这篇文章通过界面自组装制备了不同层数的Ti3C2? MXene薄膜，研究其电磁干扰（EMI）屏蔽性能。结果表明，单层薄膜可屏蔽约20%的电磁波，24层薄膜屏蔽率达99%（20 dB），绝对屏蔽效率高达3.89×10? dB cm2 g?1。热退火处理能提升载流子迁移率和密度，降低表面电阻，显著提高EMI屏蔽效果。理论计算揭示了薄膜厚度与屏蔽机制的关系，为轻质、便携电子设备的EMI屏蔽提供了新方案。 
2020AM-TiN耐高温吸波器.pdf,Solution-Processed All-Ceramic Plasmonic Metamaterials for Efficient Solar–Thermal Conversion over 100–727 °C,可见光至近红外波段，300-1800nm,"TiN,SiO2,PGMEA,PE",这篇文章通过溶液法制备了高性能全陶瓷等离子体超材料选择性吸收器（SSA），用于太阳能-热能转换。该吸收器通过协同面内等离子体和外平面法布里-珀罗共振，实现了近完美的全光谱太阳能吸收（95%）、低中红外发射（100 °C时为3%）以及在100-727 °C温度范围内的出色稳定性，性能优于大多数真空沉积吸收器。其制备成本低，具有大规模应用潜力，为太阳能-热能转换提供了一种经济高效的解决方案。 
2020Carbon-西北工业大学-退火温度对mxene屏蔽性能的影响.pdf,Electromagnetic shielding behavior of heat-treated Ti 3C2TXMXene accompanied by structural and phase changes,否,"Ti3AlC2,HF,Ti3C2TX,Mn,Al,X,TiC,TiO2,CO,CO2,AlF3,H2O,Ti3C2,Ti, C, O, F,Al,Cu",这篇文章研究了热处理对Ti3C2? MXene结构和电磁屏蔽性能的影响。通过实验发现，在一定温度范围内，热处理可去除表面吸附基团，改善导电性和电磁屏蔽性能。当温度升至1100℃时，MXene转变为M-TiC，此时屏蔽效果最佳，总屏蔽效能和吸收屏蔽效能分别达76.1 dB和61.3 dB。该研究为Ti3C2? MXene在高温电磁屏蔽领域的应用提供了指导。 
2020Infomat-Inverse design of metasurface optical filters using__deep neural network with high degrees of freedom.pdf,Inverse design of metasurface optical filters using deep neural network with high degrees of freedom,可见光波段，400-680nm,"Poly - Si,SiO2","这篇文章提出了一种基于神经网络的系统方法，用于实现具有高自由度的超表面光学滤波器逆设计。通过该方法，在正向模拟中，模拟器能以更高效率替代传统数值电磁模拟方法；在反向设计中，生成器可在给定设计空间内为所需光谱生成大致最优的结构。与传统方法相比，该方法能在保证速度和准确性的同时，生成多样的器件结构。

1. **设计目的**：获取在可见光波段具有指定响应的优化超表面结构，实现高自由度的逆设计。
2. **实现效果**
    - **正向模拟**：当所需精度高于神经网络模型平均误差时，模拟器可替代传统数值电磁模拟方法，效率大幅提高。
    - **反向设计**：在给定设计空间内，生成器能为所需光谱生成大致最优的结构。
    - **整体优势**：与传统遍历方法相比，该方法能在保证速度和准确性的同时，生成多样的器件结构。
3. **应用意义**：该方法可用于其他需要获得期望反射和透射的应用中，对超表面设计至关重要，未来还有改进和扩展的空间。 "
2020Nature photonics-深度学习用于光子材料综述-Deep learning for the design of photonic structures.pdf,Deep learning for the design of photonic structures,否,"In,SiO2,Si",这篇文章回顾了基于深度学习的光子设计的进展，介绍了历史背景、算法基础和关键应用，重点关注特定光子任务的各种模型架构，并对这一新兴研究方向的挑战和前景进行了评论。深度学习为光子结构设计提供了一种高效手段，能突破传统方法局限，在诸多光子设计任务中展现强大潜力，未来将推动光子学与人工智能融合，创造新的科学和工程范式。 
2020NC-华科-超材料气体传感器.pdf,Non-dispersive infrared multi-gas sensing via nanoantenna integrated narrowband detectors,中红外波段，2-20μm,"Au,LiTaO3,SiO2",这篇文章提出了一种基于窄带红外探测器阵列的多路复用非色散红外（NDIR）气体传感平台。通过在像素级别将等离子体超材料吸收器与热释电探测器集成，探测器呈现出光谱可调谐和窄带光响应，无需单独的带通滤波器阵列。实验结果表明，该平台可检测多种气体，如H2S、CH4、CO2等，部分气体的检测限低至ppm级别，还能对混合气体中的目标气体浓度进行反推。此研究为多路复用气体传感提供了创新解决方案，有望推动低成本、大规模生产的气体传感器发展。 
